reference_date,CovidHub-ensemble_aygun,UMass-ar6_pooled_aygun,CovidHub-ensemble_ours,UMass-ar6_pooled_ours
2024-11-23,39,36,36.2968990971746,33.9376520143958
2024-11-30,30,33,28.7026426776369,31.4770974619339
2024-12-07,40,39,38.0484848792085,37.1006724979542
2024-12-14,61,61,57.970184080038,57.8127086357251
2024-12-21,59,61,55.6195020889086,57.8802623371331
2024-12-28,73,82,69.7963284087984,77.898887961251
2025-01-04,54,51,51.0507039526007,48.1234498554019
2025-01-11,82,86,76.1780104744191,80.7289191129687
2025-01-18,40,40,37.9489564877723,37.8767006173577
2025-02-01,32,34,30.7489506221539,33.2794388338173
2025-02-08,26,29,25.370158459557,28.0773232681206
2025-02-15,27,29,25.4311556254735,27.5219161536829
2025-02-22,22,25,21.4329229595214,23.7622154472119
2025-03-01,26,26,24.2762718464016,24.0290426522945
2025-03-08,19,22,17.9198257477105,20.8883730982292
2025-03-15,17,22,16.5302960413667,20.9691508494458
2025-03-22,17,24,16.5652445761891,22.685692604394
2025-03-29,17,25,15.8634522050745,23.6757037307282
2025-04-05,13,22,13.0821535982318,22.5006423579383
2025-04-12,13,19,26.0851328648546,35.0355113813062
2025-04-19,11,17,34.7286730874692,44.7278326867669
2025-04-26,10,,45.2415400556571,
2025-05-03,10,17,60.6211132626638,72.676996590957
2025-05-10,10,16,56.5161126578815,66.7613371633753
2025-05-17,11,13,45.839152347466,56.7156964033081
2025-05-24,12,14,45.2937507701012,51.2854606756579
2025-05-31,11,11,44.7040236659402,48.7615579823384
