model,reference_date,mean_wis,n_tuples
CEPH-Rtrend_covid,2024-11-23,40.4189799331104,208
CEPH-Rtrend_covid,2024-11-30,28.0964130434783,208
CEPH-Rtrend_covid,2024-12-07,42.9178699832776,208
CEPH-Rtrend_covid,2024-12-14,61.2463210702341,208
CEPH-Rtrend_covid,2024-12-21,51.2804494147157,208
CEPH-Rtrend_covid,2024-12-28,64.3486914715719,208
CEPH-Rtrend_covid,2025-01-04,69.2595401337792,208
CEPH-Rtrend_covid,2025-01-11,113.395098244147,208
CEPH-Rtrend_covid,2025-01-18,39.0856918896321,208
CEPH-Rtrend_covid,2025-02-01,46.8911162207358,208
CEPH-Rtrend_covid,2025-02-08,33.0998411371237,208
CEPH-Rtrend_covid,2025-02-15,33.4604724080267,208
CEPH-Rtrend_covid,2025-02-22,27.3251546822743,208
CEPH-Rtrend_covid,2025-03-01,35.2247658862876,208
CEPH-Rtrend_covid,2025-03-08,24.5724080267559,208
CEPH-Rtrend_covid,2025-03-15,21.2359698996656,208
CEPH-Rtrend_covid,2025-03-22,22.0795401337793,208
CEPH-Rtrend_covid,2025-03-29,20.3340342809365,208
CEPH-Rtrend_covid,2025-04-05,16.2574310200669,208
CEPH-Rtrend_covid,2025-04-12,16.0887959866221,156
CEPH-Rtrend_covid,2025-04-19,14.1167976588629,104
CEPH-Rtrend_covid,2025-04-26,10.5523494983278,52
CMU-TimeSeries,2024-11-23,121.872904953643,208
CMU-TimeSeries,2024-11-30,89.6207447253135,208
CMU-TimeSeries,2024-12-07,68.9155449650951,208
CMU-TimeSeries,2024-12-14,50.8317372189989,208
CMU-TimeSeries,2024-12-21,53.4811715168221,208
CMU-TimeSeries,2024-12-28,64.0862286022163,208
CMU-TimeSeries,2025-01-04,63.6031531157286,208
CMU-TimeSeries,2025-01-11,129.629233588347,208
CMU-TimeSeries,2025-01-18,49.0516521993714,208
CMU-TimeSeries,2025-02-08,31.0038809924312,208
CMU-TimeSeries,2025-02-15,27.5356106353406,208
CMU-TimeSeries,2025-02-22,19.6480097618456,208
CMU-TimeSeries,2025-03-01,21.8059981845027,208
CMU-TimeSeries,2025-03-08,17.3175406220733,208
CMU-TimeSeries,2025-03-15,16.4036130807886,208
CMU-TimeSeries,2025-03-22,16.559867210219,208
CMU-TimeSeries,2025-03-29,13.7214491339095,208
CMU-TimeSeries,2025-04-05,12.7542448199625,208
CMU-TimeSeries,2025-04-12,11.4738361818245,156
CMU-TimeSeries,2025-04-19,10.8819189463046,104
CMU-TimeSeries,2025-04-26,9.18546355108381,52
CMU-climate_baseline,2024-11-23,163.949568233776,208
CMU-climate_baseline,2024-11-30,166.343572252314,208
CMU-climate_baseline,2024-12-07,158.243761600333,208
CMU-climate_baseline,2024-12-14,143.42210084343,208
CMU-climate_baseline,2024-12-21,129.594735428919,208
CMU-climate_baseline,2024-12-28,113.82406559653,208
CMU-climate_baseline,2025-01-04,123.784635472585,208
CMU-climate_baseline,2025-01-11,123.01469539295,208
CMU-climate_baseline,2025-01-18,117.060653664752,208
CMU-climate_baseline,2025-02-08,96.0493165789943,208
CMU-climate_baseline,2025-02-15,87.6952444642763,208
CMU-climate_baseline,2025-02-22,78.8212027204919,208
CMU-climate_baseline,2025-03-01,68.2494174999227,208
CMU-climate_baseline,2025-03-08,59.2072952409833,208
CMU-climate_baseline,2025-03-15,51.6670637208966,208
CMU-climate_baseline,2025-03-22,46.302926492516,208
CMU-climate_baseline,2025-03-29,41.7128170773775,208
CMU-climate_baseline,2025-04-05,38.0392831700638,208
CMU-climate_baseline,2025-04-12,35.0999183195952,156
CMU-climate_baseline,2025-04-19,38.1937795847269,104
CMU-climate_baseline,2025-04-26,34.7661518673356,52
CovidHub-baseline,2024-11-23,120.612350346783,208
CovidHub-baseline,2024-11-30,40.4383232650383,208
CovidHub-baseline,2024-12-07,56.9342617093845,208
CovidHub-baseline,2024-12-14,83.859011614343,208
CovidHub-baseline,2024-12-21,85.7877471997229,208
CovidHub-baseline,2024-12-28,95.3730686350641,208
CovidHub-baseline,2025-01-04,49.1442510723054,208
CovidHub-baseline,2025-01-11,58.8026054576061,208
CovidHub-baseline,2025-01-18,34.0640464517162,208
CovidHub-baseline,2025-02-01,31.9819566973271,208
CovidHub-baseline,2025-02-08,27.9447599862569,208
CovidHub-baseline,2025-02-15,27.5714700006209,208
CovidHub-baseline,2025-02-22,24.7309019867605,208
CovidHub-baseline,2025-03-01,24.9664339386741,208
CovidHub-baseline,2025-03-08,20.9301107047877,208
CovidHub-baseline,2025-03-15,20.9387956397872,208
CovidHub-baseline,2025-03-22,22.9108010455239,208
CovidHub-baseline,2025-03-29,23.7095437917175,208
CovidHub-baseline,2025-04-05,22.2919256804512,208
CovidHub-baseline,2025-04-12,18.3937484552341,156
CovidHub-baseline,2025-04-19,13.5045935290434,104
CovidHub-baseline,2025-04-26,12.5672541463437,52
CovidHub-ensemble,2024-11-23,36.2968990971746,208
CovidHub-ensemble,2024-11-30,28.7026426776369,208
CovidHub-ensemble,2024-12-07,38.0484848792085,208
